nick,country,stats_link,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact
kalinka,Lithuania,https://www.hltv.org//stats/players/9410/kalinka,"['HellRaisers', 'Playing Ducks']",855,22891,157,1.01,1.01,16112,52.8,15955,3.8,0.7,0.12,0.7,0.09,0.09,68.8,1.1
Jinxx,Australia,https://www.hltv.org//stats/players/11538/jinxx,"['Genuine', 'Taboo', 'Chiefs']",400,10511,283,1.04,1.01,7054,52.7,6771,3.8,0.67,0.12,0.64,0.1,0.13,71.7,0.94
to1nou,Belgium,https://www.hltv.org//stats/players/7982/to1nou,"['LDLC', 'LDLC White']",850,22377,520,1.04,1.01,15196,30.5,14676,2.2,0.68,0.1,0.66,0.09,0.1,68.9,1.01
siuhy,Poland,https://www.hltv.org//stats/players/16820/siuhy,"['MOUZ NXT', 'Izako Boars']",476,12737,34,1.0,1.01,8914,53.3,8880,4.4,0.7,0.13,0.7,0.1,0.08,68.6,1.12
DickStacy,Australia,https://www.hltv.org//stats/players/12876/dickstacy,"['Grayhound', 'Dark Sided']",624,15708,346,1.03,1.01,10534,48.9,10188,4.5,0.67,0.15,0.65,0.11,0.09,72.6,1.06
jR,Ukraine,https://www.hltv.org//stats/players/8786/jr,"['Vega Squadron', 'HellRaisers']",892,23804,554,1.04,1.01,16101,34.0,15547,3.3,0.68,0.11,0.65,0.08,0.07,68.2,1.07
DESPE,Turkey,https://www.hltv.org//stats/players/7980/despe,['Space Soldiers'],468,12127,320,1.04,1.01,8068,29.8,7748,2.5,0.67,0.11,0.64,0.08,0.08,69.4,1.04
kioShiMa,France,https://www.hltv.org//stats/players/4959/kioshima,"['Envy', 'Heretics', 'FaZe']",1495,39250,1292,1.05,1.01,26259,51.3,24967,5.2,0.67,0.15,0.64,0.08,0.09,70.6,0.97
zqkS,Brazil,https://www.hltv.org//stats/players/7383/zqks,"['Imperial', 'Yeah', 'Keyd']",750,19393,710,1.06,1.01,12827,28.8,12117,3.8,0.66,0.12,0.62,0.09,0.09,70.5,1.05
speed4k,Russia,https://www.hltv.org//stats/players/13155/speed4k,"['DreamEaters', 'Nemiga']",767,20579,568,1.04,1.01,13678,39.2,13110,2.9,0.66,0.11,0.64,0.09,0.09,70.5,1.01
FugLy,United States,https://www.hltv.org//stats/players/8522/fugly,"['NRG', 'Liquid', 'Envy']",1083,28153,621,1.03,1.01,18921,43.4,18300,3.5,0.67,0.13,0.65,0.1,0.11,71.4,0.98
emagine,Australia,https://www.hltv.org//stats/players/8744/emagine,"['ORDER', 'Kings', 'Winterfox', 'Immunity']",751,18931,487,1.04,1.01,12837,45.9,12350,4.8,0.68,0.14,0.65,0.1,0.09,70.7,1.0
Polt,Russia,https://www.hltv.org//stats/players/16946/polt,"['1WIN', 'Unique']",510,13490,417,1.05,1.01,9270,49.2,8853,3.5,0.69,0.14,0.66,0.08,0.09,70.9,1.0
Nifty,United States,https://www.hltv.org//stats/players/9069/nifty,"['Renegades', 'Envy', 'Selfless']",865,22686,310,1.02,1.01,15336,36.3,15026,3.2,0.68,0.09,0.66,0.1,0.09,67.7,1.08
Tsogoo,Mongolia,https://www.hltv.org//stats/players/9245/tsogoo,"['TheMongolz', 'Mazaalai']",472,12038,137,1.02,1.0,8486,52.9,8349,3.4,0.7,0.14,0.69,0.1,0.11,69.6,1.04
MINISE,Poland,https://www.hltv.org//stats/players/2826/minise,"['PACT', 'PRIDE', 'Kinguin']",1871,49905,605,1.02,1.0,34615,39.7,34010,4.9,0.69,0.12,0.68,0.08,0.07,67.1,1.14
waterfaLLZ,Russia,https://www.hltv.org//stats/players/8727/waterfallz,"['Quantum Bellator Fire', 'PiTER', 'AVE', 'EPG']",899,23842,341,1.02,1.0,16371,27.1,16030,3.2,0.69,0.12,0.67,0.09,0.08,68.0,1.09
pounh,Lithuania,https://www.hltv.org//stats/players/11307/pounh,"['Playing Ducks', 'Imperial', '1337HUANIA']",401,10552,91,1.01,1.0,7289,49.5,7198,2.1,0.69,0.13,0.68,0.09,0.09,69.0,1.03
Zero,Slovakia,https://www.hltv.org//stats/players/8413/zero,"['GamerLegion', 'HellRaisers']",1067,28407,772,1.04,1.0,19051,49.1,18279,2.5,0.67,0.12,0.64,0.09,0.11,71.5,0.96
innocent,Poland,https://www.hltv.org//stats/players/3669/innocent,"['Anonymo', 'Illuminar', 'CSGL']",1753,46132,551,1.02,1.0,31986,45.9,31434,5.1,0.69,0.15,0.68,0.09,0.09,69.8,1.03
Relyks,United States,https://www.hltv.org//stats/players/8517/relyks,"['eUnited', 'Enemy', 'Selfless', 'New Identity']",832,21258,161,1.01,1.0,14589,48.8,14428,5.6,0.69,0.12,0.68,0.1,0.1,69.6,1.01
fenvicious,Russia,https://www.hltv.org//stats/players/10590/fenvicious,"['Unique', 'Spirit Academy', 'EPG']",729,19059,141,1.01,1.0,13225,52.7,13084,2.4,0.69,0.12,0.69,0.09,0.09,69.1,1.02
nitr0,United States,https://www.hltv.org//stats/players/7687/nitr0,['Liquid'],1369,35665,606,1.03,1.0,24080,44.4,23474,4.9,0.68,0.14,0.66,0.11,0.1,71.4,1.01
glace,Denmark,https://www.hltv.org//stats/players/1883/glace,"['North Academy', 'Tricked', 'Rogue', 'No Problem!']",589,15307,366,1.04,1.0,10395,52.2,10029,4.1,0.68,0.14,0.66,0.09,0.1,70.7,1.0
Oderus,United States,https://www.hltv.org//stats/players/11238/oderus,"['Spacestation', 'BlackOut', 'The Pioneers']",473,12356,-52,0.99,1.0,8738,34.3,8790,1.8,0.71,0.09,0.71,0.1,0.1,67.0,1.15
1uke,Russia,https://www.hltv.org//stats/players/8724/1uke,"['Spirit Academy', 'HOLLYWOOD', 'PLINK']",623,16179,223,1.02,1.0,11017,26.4,10794,2.2,0.68,0.09,0.67,0.08,0.07,67.3,1.16
Edward,Ukraine,https://www.hltv.org//stats/players/483/edward,['Natus Vincere'],1473,38787,689,1.03,1.0,26683,51.1,25994,2.9,0.69,0.13,0.67,0.09,0.09,69.3,0.98
leo_drk,Brazil,https://www.hltv.org//stats/players/11329/leo-drk,"['Sharks', '00NATION']",597,15378,31,1.0,1.0,10622,51.6,10591,4.4,0.69,0.13,0.69,0.11,0.1,70.0,1.11
R0b3n,Latvia,https://www.hltv.org//stats/players/14205/r0b3n,"['Unique', 'Space Jam', 'ex-ETHEREAL']",526,13849,235,1.03,1.0,9427,49.8,9192,3.0,0.68,0.12,0.66,0.09,0.1,70.2,0.98
dzt,Brazil,https://www.hltv.org//stats/players/10570/dzt,"['Imperial', 'Case', 'BigGods']",674,17454,167,1.01,1.0,11985,46.4,11818,3.8,0.69,0.13,0.68,0.1,0.09,69.6,1.11
SIXER,France,https://www.hltv.org//stats/players/147/sixer,"['LDLC', 'Envy']",1084,28593,963,1.05,1.0,18826,39.0,17863,2.7,0.66,0.11,0.62,0.09,0.1,70.7,0.95
ALLE,Brazil,https://www.hltv.org//stats/players/11922/alle,"['Isurus', 'Liberty', 'Redemption POA', 'C4']",408,10832,122,1.02,1.0,7396,49.5,7274,5.6,0.68,0.14,0.67,0.1,0.11,70.8,1.06
Lack1,Kazakhstan,https://www.hltv.org//stats/players/13240/lack1,"['Entropiq', 'Winstrike']",879,23516,90,1.01,1.0,16122,45.6,16032,2.7,0.69,0.13,0.68,0.09,0.09,69.6,1.07
hazed,United States,https://www.hltv.org//stats/players/8347/hazed,"['CLG', 'Mythic']",736,19138,-81,0.99,1.0,13273,49.8,13354,4.1,0.69,0.15,0.7,0.09,0.08,68.2,1.12
xiaosaGe,China,https://www.hltv.org//stats/players/11574/xiaosage,"['5POWER', 'Invictus', 'UYA']",847,22333,35,1.0,1.0,15686,47.7,15651,5.2,0.7,0.16,0.7,0.11,0.1,70.1,1.11
almazer,Russia,https://www.hltv.org//stats/players/11654/almazer,['forZe'],1302,35000,580,1.03,1.0,23468,51.9,22888,4.1,0.67,0.13,0.65,0.1,0.09,71.1,1.0
kenzor,Ukraine,https://www.hltv.org//stats/players/11515/kenzor,['pro100'],598,15627,57,1.01,1.0,10785,54.8,10728,2.6,0.69,0.13,0.69,0.1,0.11,70.1,1.04
Djoko,France,https://www.hltv.org//stats/players/19738/djoko,"['HEET', 'DBL PONEY']",459,12166,5,1.0,1.0,8338,61.5,8333,6.0,0.69,0.13,0.68,0.1,0.1,69.3,1.08
cbbk,Thailand,https://www.hltv.org//stats/players/10764/cbbk,"['Lucid Dream', 'Beyond']",404,10342,163,1.02,1.0,7029,51.2,6866,4.3,0.68,0.15,0.66,0.1,0.1,71.4,1.02
KILLDREAM,Portugal,https://www.hltv.org//stats/players/5792/killdream,"['AlienTech', 'k1ck', 'Giants']",429,11159,-16,1.0,1.0,7851,44.2,7867,3.4,0.7,0.16,0.7,0.1,0.11,70.9,1.15
Basso,Denmark,https://www.hltv.org//stats/players/10443/basso,['Copenhagen Flames'],582,15218,265,1.03,1.0,10081,53.0,9816,3.5,0.66,0.1,0.65,0.09,0.1,70.0,0.92
RoLEX,Thailand,https://www.hltv.org//stats/players/10663/rolex,"['Signature', 'ZIGMA', 'Beyond', 'MiTH']",492,12610,33,1.0,1.0,8834,51.2,8801,3.2,0.7,0.14,0.7,0.09,0.09,69.2,1.08
SZPERO,Poland,https://www.hltv.org//stats/players/973/szpero,"['Wisla Krakow', 'Kinguin', 'AGO']",2049,54181,866,1.02,1.0,36871,33.4,35995,3.4,0.68,0.12,0.66,0.07,0.07,69.0,1.06
zeff,Korea,https://www.hltv.org//stats/players/4637/zeff,['MVP PK'],482,12229,54,1.01,1.0,8381,42.0,8327,4.9,0.69,0.17,0.68,0.13,0.11,72.0,1.15
cromen,Norway,https://www.hltv.org//stats/players/10397/cromen,['Nordavind'],653,17335,67,1.01,1.0,11785,52.8,11718,3.6,0.68,0.13,0.68,0.11,0.11,70.3,1.06
adreN,United States,https://www.hltv.org//stats/players/7433/adren,"['Liquid', 'Mythic']",697,18241,380,1.03,1.0,12259,35.3,11879,5.7,0.67,0.15,0.65,0.1,0.12,70.9,1.02
supra,Estonia,https://www.hltv.org//stats/players/16415/supra,"['Gambit Youngsters', 'Nordavind']",531,14249,65,1.01,1.0,9463,57.9,9398,5.4,0.66,0.12,0.66,0.1,0.1,69.9,1.05
MODDII,Sweden,https://www.hltv.org//stats/players/545/moddii,"['Heroic', 'SK']",1169,30527,408,1.02,1.0,20574,52.4,20166,3.6,0.67,0.13,0.66,0.08,0.08,70.1,1.02
mopoz,Spain,https://www.hltv.org//stats/players/9254/mopoz,['Movistar Riders'],1108,29419,-46,1.0,1.0,19981,51.6,20027,4.8,0.68,0.13,0.68,0.09,0.07,69.1,1.1
void,Australia,https://www.hltv.org//stats/players/14954/void,"['Ground Zero', 'Dark Sided']",437,11368,127,1.02,1.0,7854,40.0,7727,2.8,0.69,0.13,0.68,0.1,0.11,69.8,0.96
pyth,Sweden,https://www.hltv.org//stats/players/7527/pyth,"['NIP', 'Vexed']",756,19801,-5,1.0,1.0,13677,56.0,13682,4.1,0.69,0.13,0.69,0.1,0.1,67.4,0.96
mds,Belarus,https://www.hltv.org//stats/players/11926/mds,['Nemiga'],1087,29074,459,1.02,1.0,19543,53.4,19084,2.8,0.67,0.11,0.66,0.09,0.09,70.2,1.0
cam,United States,https://www.hltv.org//stats/players/13186/cam,"['Singularity', 'Gorilla Gang', 'Chaos']",544,13974,169,1.02,1.0,9454,50.8,9285,5.4,0.68,0.15,0.66,0.12,0.12,71.9,1.02
freakazoid,United States,https://www.hltv.org//stats/players/7808/freakazoid,"['Swole Patrol', 'Cloud9', 'Echo Fox']",886,22716,43,1.0,1.0,15788,46.8,15745,4.4,0.7,0.15,0.69,0.1,0.1,70.6,1.09
xseveN,Finland,https://www.hltv.org//stats/players/7248/xseven,"['HAVU', 'ENCE', 'iGame.com', 'RCTIC']",1273,33658,339,1.02,1.0,22753,46.2,22414,6.0,0.68,0.16,0.67,0.09,0.09,70.8,1.06
Jerry,Russia,https://www.hltv.org//stats/players/13157/jerry,['forZe'],1528,41085,398,1.01,1.0,28109,45.8,27711,4.3,0.68,0.14,0.67,0.1,0.09,71.0,1.06
peet,Poland,https://www.hltv.org//stats/players/7369/peet,"['AGG', 'Vexed', 'SEAL', 'eBettle']",379,9993,97,1.01,1.0,6788,34.0,6691,2.1,0.68,0.12,0.67,0.1,0.1,69.0,1.09
STYKO,Slovakia,https://www.hltv.org//stats/players/6904/styko,"['HellRaisers', 'MOUZ', 'GODSENT']",1530,40320,445,1.02,1.0,26959,57.5,26514,5.0,0.67,0.13,0.66,0.09,0.08,70.0,0.99
pecks,Australia,https://www.hltv.org//stats/players/10163/pecks,['Chiefs'],389,9930,162,1.03,1.0,6620,45.9,6458,4.4,0.67,0.14,0.65,0.09,0.08,71.1,0.96
ImpressioN,Singapore,https://www.hltv.org//stats/players/9339/impression,"['NKT', 'BOOT-d[S]', 'BTRG', 'dream[S]cape']",663,17155,81,1.01,1.0,11760,48.8,11679,4.1,0.69,0.15,0.68,0.1,0.11,71.0,1.06
Noktse,Argentina,https://www.hltv.org//stats/players/2161/noktse,['Isurus'],774,20247,247,1.02,1.0,13629,39.5,13382,4.6,0.67,0.13,0.66,0.09,0.08,68.8,1.1
Liki,Australia,https://www.hltv.org//stats/players/19190/liki,"['Looking For Org', 'Dire Wolves', 'Bizarre', 'Skyfire']",387,9810,211,1.03,1.0,6475,43.4,6264,5.9,0.66,0.15,0.64,0.12,0.1,72.6,1.01
truth,Norway,https://www.hltv.org//stats/players/9298/truth,"['Apeks', 'ATK', 'Vexed']",479,12857,49,1.01,1.0,8886,51.4,8837,3.4,0.69,0.12,0.69,0.09,0.1,69.2,1.01
vice,United States,https://www.hltv.org//stats/players/9260/vice,"['Rogue', 'Cloud9']",493,12707,128,1.01,1.0,8668,49.4,8540,3.1,0.68,0.14,0.67,0.12,0.11,71.4,1.02
Bååten,Sweden,https://www.hltv.org//stats/players/10463/bten,"['x6tence Galaxy', 'Red Reserve', 'fnatic Academy', 'Chaos']",738,19661,39,1.0,1.0,13293,56.5,13254,3.7,0.68,0.12,0.67,0.1,0.11,69.4,1.01
notaN,Denmark,https://www.hltv.org//stats/players/9903/notan,"['MASONIC', 'Singularity', 'OPAA', 'Alpha']",421,11165,72,1.01,1.0,7494,49.3,7422,4.9,0.67,0.14,0.66,0.1,0.11,70.9,1.0
reversive,Argentina,https://www.hltv.org//stats/players/9221/reversive,"['Leviatan', 'Isurus']",609,15928,170,1.02,1.0,10800,43.6,10630,4.5,0.68,0.14,0.67,0.1,0.1,70.9,1.04
